Estação,Código,Latitude,Longitude,Altitude,Estado,Municipio,Chuva,Vazao,Data
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 03:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 03:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 03:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,11",2023-01-01 03:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"92,6",2023-01-01 04:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"94,27",2023-01-01 04:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"96,8",2023-01-01 04:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"98,5",2023-01-01 04:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"101,07",2023-01-01 05:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"102,79",2023-01-01 05:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"106,28",2023-01-01 05:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"108,27",2023-01-01 05:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"110,28",2023-01-01 06:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"112,3",2023-01-01 06:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"113,32",2023-01-01 06:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"114,34",2023-01-01 06:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"115,36",2023-01-01 07:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"116,38",2023-01-01 07:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"116,38",2023-01-01 07:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"116,38",2023-01-01 07:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"114,34",2023-01-01 08:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,2","113,32",2023-01-01 08:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"111,29",2023-01-01 08:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"110,28",2023-01-01 08:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"108,27",2023-01-01 09:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"105,4",2023-01-01 09:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"104,53",2023-01-01 09:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"102,79",2023-01-01 09:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"101,07",2023-01-01 10:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"99,35",2023-01-01 10:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"98,5",2023-01-01 10:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"97,65",2023-01-01 10:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"95,95",2023-01-01 11:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"95,95",2023-01-01 11:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"95,11",2023-01-01 11:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"94,27",2023-01-01 11:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"93,43",2023-01-01 12:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"92,6",2023-01-01 12:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"92,6",2023-01-01 12:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-01 12:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,93",2023-01-01 13:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,93",2023-01-01 13:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,11",2023-01-01 13:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,11",2023-01-01 13:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-01 14:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-01 14:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-01 14:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 14:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 15:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 15:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 15:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-01 15:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 16:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 16:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 16:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 16:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 17:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 17:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 17:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 17:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 18:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 18:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 18:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 18:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 19:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 19:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 19:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 19:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 20:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 20:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 20:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 20:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 21:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 21:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 21:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-01 21:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 22:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 22:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 22:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 22:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 23:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-01 23:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-01 23:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-01 23:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-02 00:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-02 00:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-02 00:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-02 00:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-02 01:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-02 01:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"85,21",2023-01-02 01:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,2","85,21",2023-01-02 01:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-02 02:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"85,21",2023-01-02 02:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"85,21",2023-01-02 02:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,2","85,21",2023-01-02 02:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"85,21",2023-01-02 03:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-02 03:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,02",2023-01-02 03:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-02 03:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 04:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-02 04:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,8","90,93",2023-01-02 04:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"1,4","91,76",2023-01-02 04:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,2,"94,27",2023-01-02 05:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,6","95,11",2023-01-02 05:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,1,"96,8",2023-01-02 05:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"97,65",2023-01-02 05:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,6","99,35",2023-01-02 06:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"1,2","101,07",2023-01-02 06:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"3,2","102,79",2023-01-02 06:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"2,4","104,53",2023-01-02 06:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,4","105,4",2023-01-02 07:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,4","107,27",2023-01-02 07:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"1,8","108,27",2023-01-02 07:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"1,4","111,29",2023-01-02 07:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"2,2","116,38",2023-01-02 08:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,4","122,6",2023-01-02 08:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,4","126,8",2023-01-02 08:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"128,92",2023-01-02 08:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"128,92",2023-01-02 09:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"127,86",2023-01-02 09:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"125,75",2023-01-02 09:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"123,64",2023-01-02 09:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"121,55",2023-01-02 10:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"119,48",2023-01-02 10:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"117,41",2023-01-02 10:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"115,36",2023-01-02 10:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"112,3",2023-01-02 11:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"110,28",2023-01-02 11:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"108,27",2023-01-02 11:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"105,4",2023-01-02 11:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"103,66",2023-01-02 12:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"101,93",2023-01-02 12:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"100,21",2023-01-02 12:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"98,5",2023-01-02 12:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"97,65",2023-01-02 13:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"96,8",2023-01-02 13:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"95,95",2023-01-02 13:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"95,11",2023-01-02 13:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"95,11",2023-01-02 14:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"94,27",2023-01-02 14:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,2","93,43",2023-01-02 14:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"93,43",2023-01-02 14:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"92,6",2023-01-02 15:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"92,6",2023-01-02 15:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"92,6",2023-01-02 15:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 15:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,2","91,76",2023-01-02 16:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,2","91,76",2023-01-02 16:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,4","91,76",2023-01-02 16:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,"0,2","91,76",2023-01-02 16:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 17:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 17:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 17:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 17:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"91,76",2023-01-02 18:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,93",2023-01-02 18:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,93",2023-01-02 18:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,93",2023-01-02 18:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,11",2023-01-02 19:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"90,11",2023-01-02 19:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-02 19:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-02 19:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"89,28",2023-01-02 20:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 20:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 20:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 20:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 21:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 21:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 21:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 21:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 22:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 22:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 22:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"88,46",2023-01-02 22:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 23:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 23:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 23:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-02 23:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-03 00:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 00:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 00:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 00:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 01:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 01:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 01:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 01:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 02:00:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 02:15:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"86,83",2023-01-03 02:30:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-03 02:45:00
MARIO DE CARVALHO,56696000,"-19,5247","-42,6408",232,MINAS GERAIS,TIMÓTEO,0,"87,65",2023-01-03 03:00:00
